ts in ms;formatted local time;sensor id;mapped id;number;full name;group id;group name;x in m;y in m;z in m;speed in m/s;direction of movement in deg;acceleration in m/s2;total distance in m;metabolic power in W/kg;acceleration load;
1550663557050;02/20/2019 12:52:37.050 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.873;24.753;0.15;;;;0;;;
1550663557050;02/20/2019 12:52:37.050 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.247;31.718;0.15;0.841;;;0;;;
1550663557100;02/20/2019 12:52:37.100 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.837;25.137;0.15;5.61;;;0;;;
1550663557100;02/20/2019 12:52:37.100 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.211;31.733;0.15;0.943;;;0;;;
1550663557150;02/20/2019 12:52:37.150 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.803;25.436;0.15;5.61;92.876;;0;;;
1550663557150;02/20/2019 12:52:37.150 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.13;31.71;0.15;0.965;;;0;;;
1550663557200;02/20/2019 12:52:37.200 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.775;25.641;0.15;5.132;92.048;;0;;;
1550663557200;02/20/2019 12:52:37.200 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.059;31.689;0.15;0.942;;;0;;;
1550663557250;02/20/2019 12:52:37.250 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.76;25.872;0.15;4.448;90.864;;0;;;
1550663557250;02/20/2019 12:52:37.250 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.046;31.688;0.15;0.923;;0.032;0;;;
1550663557300;02/20/2019 12:52:37.300 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.789;26.17;0.15;4.085;86.988;;0;;;
1550663557300;02/20/2019 12:52:37.300 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.027;31.687;0.15;0.946;;0.986;0;;;
1550663557350;02/20/2019 12:52:37.350 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.804;26.349;0.15;3.973;80.986;-5.435;0;;;
1550663557350;02/20/2019 12:52:37.350 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";106.008;31.696;0.15;0.969;;1.732;0;;;
1550663557400;02/20/2019 12:52:37.400 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.81;26.453;0.15;3.909;80.628;-5.001;0;;;
1550663557400;02/20/2019 12:52:37.400 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.963;31.71;0.15;1.188;;1.732;0;;;
1550663557450;02/20/2019 12:52:37.450 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.871;26.653;0.15;3.397;79.578;-4.568;0;;;
1550663557450;02/20/2019 12:52:37.450 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.885;31.69;0.15;1.326;;1.405;0;;;
1550663557500;02/20/2019 12:52:37.500 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.938;26.861;0.15;3.005;86.845;-4.332;0;;;
1550663557500;02/20/2019 12:52:37.500 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.789;31.701;0.15;1.326;;-1.26;0;;;
1550663557550;02/20/2019 12:52:37.550 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.976;27.009;0.15;2.829;107.99;-4.233;0;;;
1550663557550;02/20/2019 12:52:37.550 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.69;31.699;0.15;1.257;;-2.931;0;;;
1550663557600;02/20/2019 12:52:37.600 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";79.009;27.151;0.15;2.653;144.558;-4.001;0;;;
1550663557600;02/20/2019 12:52:37.600 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.644;31.69;0.15;0.92;;-2.953;0;;;
1550663557650;02/20/2019 12:52:37.650 PM;35472;61;98;"Ball 2 Ball 2";2;"Balls";78.974;27.18;0.15;2.478;177.955;-0.892;0;;;
1550663557650;02/20/2019 12:52:37.650 PM;39115;11;9;"Philipp Walther";3;"Group B";70.62;9.696;1.6;;;;0;;;
1550663557650;02/20/2019 12:52:37.650 PM;35643;63;96;"Ball 4 Ball 4";2;"Balls";105.644;31.733;0.15;0.667;;-2.953;0;;;
1550663557700;02/20/2019 12:52:37.700 PM;39105;8;6;"Naoya Tawaraishi";1;"Group A";93.744;25.269;1.6;0.829;7.258;;0;;;
